wavelength,E_lambda,V_lambda,L_lambda,r,g,b
380,0.00000,0.00004,0.021,0.0204,-0.0106,0.9902
385,0.31250,0.00006,0.021,0.0204,-0.0106,0.9902
390,0.40833,0.00012,0.021,0.0204,-0.0106,0.9902
395,0.47465,0.00022,0.021,0.0204,-0.0106,0.9902
400,0.42929,0.00040,0.021,0.0204,-0.0106,0.9902
405,0.56250,0.00064,0.022,0.0191,-0.0101,0.9910
410,0.51240,0.00121,0.023,0.0177,-0.0096,0.9919
415,0.55046,0.00218,0.025,0.0162,-0.0089,0.9927
420,0.60250,0.00400,0.029,0.0137,-0.0074,0.9937
425,0.64795,0.00730,0.033,0.0114,-0.0060,0.9946
430,0.67328,0.01160,0.039,0.0072,-0.0037,0.9965
435,0.68943,0.01684,0.047,0.0011,-0.0005,0.9994
440,0.72609,0.02300,0.058,-0.0070,0.0039,1.0031
445,0.76342,0.02980,0.071,-0.0178,0.0093,1.0085
450,0.75921,0.03800,0.088,-0.0315,0.0161,1.0154
455,0.77604,0.04800,0.116,-0.0487,0.0264,1.0223
460,0.78167,0.06000,0.157,-0.0697,0.0405,1.0292
465,0.79432,0.07390,0.229,-0.0983,0.0632,1.0351
470,0.80128,0.09098,0.338,-0.1376,0.0970,1.0406
475,0.81083,0.11260,0.519,-0.1990,0.1520,1.0470
480,0.81211,0.13902,0.805,-0.2846,0.2367,1.0479
485,0.82162,0.16930,1.267,-0.4019,0.3689,1.0330
490,0.81627,0.20802,1.959,-0.5527,0.5613,0.9914
495,0.81052,0.25860,3.001,-0.7480,0.8440,0.9040
500,0.80867,0.32300,4.236,-0.9494,1.1727,0.7767
505,0.79548,0.40730,5.424,-1.0800,1.4750,0.6050
510,0.79066,0.50300,6.347,-1.1203,1.6964,0.4239
515,0.79168,0.60820,6.729,-1.0311,1.7647,0.2664
520,0.81085,0.71000,6.657,-0.8637,1.7114,0.1523
525,0.83800,0.79320,6.288,-0.6739,1.5849,0.0890
530,0.86740,0.86200,5.839,-0.4879,1.4406,0.0473
535,0.89348,0.91485,5.367,-0.3165,1.2944,0.0221
540,0.92338,0.95400,4.900,-0.1617,1.1530,0.0087
545,0.95022,0.98030,4.479,-0.0279,1.0267,0.0012
550,0.97110,0.99495,4.110,0.0859,0.9166,-0.0025
555,0.98810,1.00000,3.739,0.1990,0.8064,-0.0054
560,1.00000,0.99500,3.389,0.3032,0.7029,-0.0061
565,1.00542,0.97860,3.062,0.3988,0.6068,-0.0056
570,1.00105,0.95200,2.762,0.4864,0.5185,-0.0049
575,0.98656,0.91540,2.487,0.5664,0.4376,-0.0040
580,0.97874,0.87000,2.242,0.6376,0.3655,-0.0031
585,0.97133,0.81630,2.026,0.7003,0.3020,-0.0023
590,0.94663,0.75700,1.829,0.7572,0.2442,-0.0014
595,0.93251,0.69490,1.672,0.8031,0.1979,-0.0010
600,0.92155,0.63100,1.543,0.8406,0.1600,-0.0006
605,0.90438,0.56680,1.430,0.8738,0.1267,-0.0005
610,0.89463,0.50300,1.338,0.9010,0.0995,-0.0005
615,0.89030,0.44120,1.267,0.9219,0.0786,-0.0005
620,0.88110,0.38100,1.211,0.9385,0.0620,-0.0005
625,0.87508,0.32100,1.163,0.9526,0.0479,-0.0005
630,0.87396,0.26500,1.125,0.9639,0.0366,-0.0005
635,0.87327,0.21700,1.093,0.9732,0.0273,-0.0005
640,0.87657,0.17500,1.070,0.9799,0.0206,-0.0005
645,0.88278,0.13820,1.052,0.9853,0.0152,-0.0005
650,0.87944,0.10700,1.038,0.9889,0.0111,0.0000
655,0.88725,0.08160,1.028,0.9917,0.0083,0.0000
660,0.87869,0.06100,1.021,0.9937,0.0063,0.0000
665,0.86362,0.04458,1.017,0.9950,0.0050,0.0000
670,0.87500,0.03200,1.013,0.9961,0.0039,0.0000
675,0.87500,0.02320,1.010,0.9971,0.0029,0.0000
680,0.87059,0.01700,1.008,0.9976,0.0024,0.0000
685,0.87248,0.01192,1.005,0.9985,0.0015,0.0000
690,0.86480,0.00821,1.002,0.9993,0.0007,0.0000
695,0.87891,0.00572,1.001,0.9997,0.0003,0.0000
700,0.85568,0.00410,1.000,1.0000,0.0000,0.0000
705,0.85695,0.00293,1.000,1.0000,0.0000,0.0000
710,0.85127,0.00209,1.000,1.0000,0.0000,0.0000
715,0.81536,0.00148,1.000,1.0000,0.0000,0.0000
720,0.83095,0.00105,1.000,1.0000,0.0000,0.0000
725,0.84459,0.00074,1.000,1.0000,0.0000,0.0000
730,0.81731,0.00052,1.000,1.0000,0.0000,0.0000
735,0.80310,0.00036,1.000,1.0000,0.0000,0.0000
740,0.80257,0.00025,1.000,1.0000,0.0000,0.0000
745,0.75625,0.00017,1.000,1.0000,0.0000,0.0000
750,0.75000,0.00012,1.000,1.0000,0.0000,0.0000
755,0.76651,0.00008,1.000,1.0000,0.0000,0.0000
760,0.75000,0.00006,1.000,1.0000,0.0000,0.0000
765,0.00000,0.00004,1.000,1.0000,0.0000,0.0000
770,0.00000,0.00003,1.000,1.0000,0.0000,0.0000
775,0.00000,0.00002,1.000,1.0000,0.0000,0.0000
780,0.00000,0.00001,1.0000,0.0000,0.0000,0.0000
